Job id            Name             User              Time Use S Queue
----------------  ---------------- ----------------  -------- - -----
306449.mgmt1      Term1.pbs        syho              1065:12: R compute         
306450.mgmt1      Term2.pbs        syho              1086:48: R compute         
306451.mgmt1      Term3.pbs        syho              1062:17: R compute         
306452.mgmt1      Term4.pbs        syho              1085:42: R compute         
324633.mgmt1      STDIN            lzha1533          03:16:33 R highmem         
324658.mgmt1      PF_v16_loop_run  rkha6631          401:27:2 R compute         
329202[].mgmt1    MERGEDPINDEL     eteb7759                 0 B compute         
332878.mgmt1      Mesh_dep_28      anag1998          227:39:5 R compute         
332904.mgmt1      Cyl136-160       aisl2413          3005:56: R compute         
332911.mgmt1      Cyl211-160       aisl2413          3028:49: R compute         
333017.mgmt1      Var_UPall        vhay1234          73:00:51 R compute         
333249.mgmt1      Cuna_sens        dkundu            1022:37: R compute         
333250.mgmt1      clusters         poto2299          157:28:2 R compute         
333251.mgmt1      clusters         poto2299          145:02:5 R compute         
333252.mgmt1      clusters         poto2299          145:03:1 R compute         
333253.mgmt1      clusters         poto2299          147:58:0 R compute         
333254.mgmt1      clusters         poto2299          156:39:4 R compute         
333255.mgmt1      clusters         poto2299          156:39:5 R compute         
333256.mgmt1      clusters         poto2299          143:33:0 R compute         
333257.mgmt1      clusters         poto2299          143:33:0 R compute         
333260.mgmt1      clusters         poto2299          151:59:4 R compute         
333261.mgmt1      clusters         poto2299          148:35:0 R compute         
333262.mgmt1      clusters         poto2299          147:52:1 R compute         
333263.mgmt1      clusters         poto2299          148:32:3 R compute         
333264.mgmt1      clusters         poto2299          135:45:5 R compute         
333265.mgmt1      clusters         poto2299          135:46:1 R compute         
333268.mgmt1      clusters         poto2299          144:50:3 R compute         
333269.mgmt1      clusters         poto2299          144:51:3 R compute         
333270.mgmt1      clusters         poto2299          148:05:2 R compute         
333271.mgmt1      clusters         poto2299          148:05:5 R compute         
333272.mgmt1      clusters         poto2299          157:17:2 R compute         
333273.mgmt1      clusters         poto2299          163:05:4 R compute         
333274.mgmt1      clusters         poto2299          157:15:1 R compute         
333275.mgmt1      clusters         poto2299          143:14:4 R compute         
333276.mgmt1      clusters         poto2299          157:12:2 R compute         
333277.mgmt1      clusters         poto2299          157:28:5 R compute         
333278.mgmt1      clusters         poto2299          140:32:4 R compute         
333279.mgmt1      clusters         poto2299          157:09:1 R compute         
333280.mgmt1      clusters         poto2299          145:28:3 R compute         
333281.mgmt1      clusters         poto2299          157:06:5 R compute         
333282.mgmt1      clusters         poto2299          151:40:1 R compute         
333283.mgmt1      clusters         poto2299          151:40:0 R compute         
333284.mgmt1      clusters         poto2299          147:34:4 R compute         
333285.mgmt1      clusters         poto2299          145:26:4 R compute         
333286.mgmt1      clusters         poto2299          144:36:3 R compute         
333287.mgmt1      clusters         poto2299          141:37:0 R compute         
333288.mgmt1      clusters         poto2299          156:14:1 R compute         
333289.mgmt1      clusters         poto2299          156:14:0 R compute         
333291.mgmt1      clusters         poto2299          148:12:2 R compute         
333292.mgmt1      clusters         poto2299          148:13:0 R compute         
333293.mgmt1      clusters         poto2299          145:39:0 R compute         
333294.mgmt1      clusters         poto2299          152:22:2 R compute         
333295.mgmt1      clusters         poto2299          156:59:4 R compute         
333296.mgmt1      clusters         poto2299          147:29:1 R compute         
333297.mgmt1      clusters         poto2299          143:03:2 R compute         
333298.mgmt1      clusters         poto2299          145:20:0 R compute         
333299.mgmt1      clusters         poto2299          147:16:2 R compute         
333300.mgmt1      clusters         poto2299          156:56:2 R compute         
333301.mgmt1      clusters         poto2299          147:25:3 R compute         
333302.mgmt1      clusters         poto2299          162:07:0 R compute         
333303.mgmt1      clusters         poto2299          162:07:0 R compute         
333304.mgmt1      clusters         poto2299          148:06:5 R compute         
333305.mgmt1      clusters         poto2299          156:07:1 R compute         
333306.mgmt1      clusters         poto2299          156:06:1 R compute         
333307.mgmt1      clusters         poto2299          147:24:3 R compute         
333308.mgmt1      clusters         poto2299          156:55:0 R compute         
333309.mgmt1      clusters         poto2299          147:25:1 R compute         
333310.mgmt1      clusters         poto2299          145:15:4 R compute         
333311.mgmt1      clusters         poto2299          143:03:4 R compute         
333312.mgmt1      clusters         poto2299          145:17:5 R compute         
333313.mgmt1      clusters         poto2299          158:04:0 R compute         
333314.mgmt1      clusters         poto2299          147:39:2 R compute         
333315.mgmt1      clusters         poto2299          153:29:0 R compute         
333316.mgmt1      clusters         poto2299          144:27:3 R compute         
333317.mgmt1      clusters         poto2299          144:27:1 R compute         
333318.mgmt1      clusters         poto2299          147:22:2 R compute         
333319.mgmt1      clusters         poto2299          156:51:3 R compute         
333320.mgmt1      clusters         poto2299          147:33:4 R compute         
333321.mgmt1      clusters         poto2299          135:07:3 R compute         
333323.mgmt1      const200         tschlub           148:18:5 R compute         
333325.mgmt1      skygrid200       tschlub           146:23:3 R compute         
333605.mgmt1      SFS1-C-WOD0      dlin6147                 0 Q compute         
333763.mgmt1      SFS1-B-WOD0      dlin6147          1276:32: R compute         
333764.mgmt1      SFS1-C-WOD45     dlin6147                 0 Q compute         
333999.mgmt1      STDIN            lzha1533          00:00:00 R compute         
334249.mgmt1      VP3_pipits_1.0   nwil8619          205:38:3 R compute         
334250.mgmt1      VP3_pipits_1.0   nwil8619          207:00:1 R compute         
337467[].mgmt1    EIF10_LYAPUNOV   akea0933                 0 B gpu             
337534.mgmt1      W5-033           jwin1641          88:28:49 R compute         
337535.mgmt1      W5-034           jwin1641          83:41:55 R compute         
337536.mgmt1      W5-035           jwin1641          65:52:21 R compute         
337537.mgmt1      W5-036           jwin1641          65:07:17 R compute         
337538.mgmt1      W5-037           jwin1641          44:20:41 R compute         
337539.mgmt1      W5-038           jwin1641          41:55:28 R compute         
337540.mgmt1      W5-039           jwin1641          40:18:15 R compute         
337541.mgmt1      W5-040           jwin1641          22:37:01 R compute         
337542.mgmt1      W5-041           jwin1641          19:26:12 R compute         
337543.mgmt1      W5-042           jwin1641          03:28:52 R compute         
337544.mgmt1      W5-043           jwin1641                 0 Q compute         
337545.mgmt1      W5-044           jwin1641                 0 Q compute         
337546.mgmt1      W5-045           jwin1641                 0 Q compute         
337547.mgmt1      W5-046           jwin1641                 0 Q compute         
337548.mgmt1      W5-047           jwin1641                 0 Q compute         
337549.mgmt1      W5-048           jwin1641                 0 Q compute         
337550.mgmt1      W5-049           jwin1641                 0 Q compute         
337551.mgmt1      W5-050           jwin1641                 0 Q compute         
337552.mgmt1      W5-051           jwin1641                 0 Q compute         
337553.mgmt1      W5-052           jwin1641                 0 Q compute         
337554.mgmt1      W5-053           jwin1641                 0 Q compute         
337555.mgmt1      W5-054           jwin1641                 0 Q compute         
337556.mgmt1      W5-055           jwin1641                 0 Q compute         
337557.mgmt1      W5-056           jwin1641                 0 Q compute         
337558.mgmt1      W5-057           jwin1641                 0 Q compute         
337559.mgmt1      W5-058           jwin1641                 0 Q compute         
337560.mgmt1      W5-059           jwin1641                 0 Q compute         
337561.mgmt1      W5-060           jwin1641                 0 Q compute         
337562.mgmt1      W5-061           jwin1641                 0 Q compute         
337563.mgmt1      W5-062           jwin1641                 0 Q compute         
337564.mgmt1      W5-063           jwin1641                 0 Q compute         
337565.mgmt1      W5-064           jwin1641                 0 Q compute         
337566.mgmt1      W5-065           jwin1641                 0 Q compute         
337567.mgmt1      W5-066           jwin1641                 0 Q compute         
337568.mgmt1      W5-067           jwin1641                 0 Q compute         
337569.mgmt1      W5-068           jwin1641                 0 Q compute         
337570.mgmt1      W5-069           jwin1641                 0 Q compute         
337571.mgmt1      W5-070           jwin1641                 0 Q compute         
337572.mgmt1      W5-071           jwin1641                 0 Q compute         
337573.mgmt1      W5-072           jwin1641                 0 Q compute         
337574.mgmt1      W5-073           jwin1641                 0 Q compute         
337575.mgmt1      W5-074           jwin1641                 0 Q compute         
337576.mgmt1      W5-075           jwin1641                 0 Q compute         
337577.mgmt1      W5-076           jwin1641                 0 Q compute         
337578.mgmt1      W5-077           jwin1641                 0 Q compute         
337579.mgmt1      W5-078           jwin1641                 0 Q compute         
337580.mgmt1      W5-079           jwin1641                 0 Q compute         
337581.mgmt1      W5-080           jwin1641                 0 Q compute         
337582.mgmt1      W5-081           jwin1641                 0 Q compute         
337583.mgmt1      W5-082           jwin1641                 0 Q compute         
337584.mgmt1      W5-083           jwin1641                 0 Q compute         
337585.mgmt1      W5-084           jwin1641                 0 Q compute         
337586.mgmt1      W5-085           jwin1641                 0 Q compute         
337587.mgmt1      W5-086           jwin1641                 0 Q compute         
337588.mgmt1      W5-087           jwin1641                 0 Q compute         
337589.mgmt1      W5-088           jwin1641                 0 Q compute         
337590.mgmt1      W5-089           jwin1641                 0 Q compute         
337591.mgmt1      W5-090           jwin1641                 0 Q compute         
337592.mgmt1      W5-091           jwin1641                 0 Q compute         
337593.mgmt1      W5-092           jwin1641                 0 Q compute         
337594.mgmt1      W5-093           jwin1641                 0 Q compute         
337595.mgmt1      W5-094           jwin1641                 0 Q compute         
